Interview,Hired,appdate,Calculated Age,SEX,RESIDENCE,GPA undergrad,GPA GRAD,Masters Teaching,Long term sub,Student Teaching,Work Experience,Former Jobs with Children,Volunteer in Schools
no,no,2003,23,Female,2,N/A,3.51,yes,no,yes,3,yes,no
no,no,2004,28,Female,2,N/A,N/A,no,no,yes,11,no,no
no,no,2004,29,Female,2,N/A,N/A,no,yes,yes,2,no,no
no,no,2004,23,Female,2,3.64,4,yes,no,yes,8,yes,no
no,no,2004,24,Female,1,3.7,N/A,no,yes,yes,0,no,no
no,no,2004,34,Female,2,2.94,3.74,yes,no,yes,2,no,no
no,no,2004,23,Female,2,3.72,3.73,yes,no,yes,3,yes,no
no,no,2003,23,Female,2,3.03,N/A,no,no,yes,4,yes,no
no,no,2003,31,Female,2,3.82,N/A,no,no,yes,6,no,no
no,no,2002,28,Female,2,N/A,N/A,no,yes,yes,5,no,no
no,no,2004,25,Female,2,N/A,N/A,yes,no,yes,10,yes,no
no,no,2004,26,Female,2,N/A,3.72,yes,no,yes,7,yes,no
no,no,2002,24,Female,2,3.84,N/A,no,no,yes,5,yes,no
no,no,2004,31,Female,2,N/A,3.91,yes,yes,yes,0,no,no
no,no,2004,22,Female,2,3.13,N/A,no,no,yes,2,no,no
no,no,2003,24,Female,2,3.14,3.94,yes,no,yes,6,yes,no
no,no,2004,30,Female,2,3.04,4.14,yes,yes,yes,5,no,no
no,no,2004,N/A,Female,2,N/A,3.87,yes,yes,yes,3,no,no
no,no,2003,31,Female,2,2.72,3.9,yes,no,yes,11,yes,no
no,no,2004,N/A,Female,2,N/A,3.4,yes,no,yes,5,yes,no
no,no,2003,23,Female,2,3.3,N/A,no,no,yes,6,yes,no
no,no,2003,23,Female,2,3.38,4,yes,no,yes,10,yes,yes
no,no,2004,23,Female,1,N/A,N/A,no,no,yes,2,no,no
no,no,2003,26,Female,2,2.58,N/A,pending,no,yes,6,yes,no
no,no,2003,33,Female,2,3.45,N/A,no,no,yes,7,no,no
no,no,2003,35,Female,3,N/A,N/A,no,no,no,0,no,no
no,no,2003,25,Female,2,3.41,N/A,no,no,yes,4,yes,no
no,no,2004,24,Female,2,3.05,3.9,yes,no,yes,1,no,no
no,no,2004,30,Male,2,3.23,3.87,yes,no,no,3,yes,no
